word,count,date
one,11,03-18-2024
trump,25,03-18-2024
in,83,03-18-2024
the,195,03-18-2024
an,13,03-18-2024
to,102,03-18-2024
his,11,03-18-2024
says,16,03-18-2024
of,102,03-18-2024
these,11,03-18-2024
most,12,03-18-2024
when,11,03-18-2024
with,24,03-18-2024
how,30,03-18-2024
trumps,10,03-18-2024
be,25,03-18-2024
who,11,03-18-2024
for,54,03-18-2024
and,69,03-18-2024
about,21,03-18-2024
after,14,03-18-2024
is,63,03-18-2024
on,39,03-18-2024
its,16,03-18-2024
as,10,03-18-2024
that,13,03-18-2024
are,35,03-18-2024
cnn,10,03-18-2024
has,11,03-18-2024
my,16,03-18-2024
up,10,03-18-2024
her,16,03-18-2024
will,15,03-18-2024
us,18,03-18-2024
you,15,03-18-2024
now,10,03-18-2024
more,14,03-18-2024
by,12,03-18-2024
it,20,03-18-2024
what,38,03-18-2024
this,33,03-18-2024
know,10,03-18-2024
was,19,03-18-2024
not,11,03-18-2024
all,11,03-18-2024
mar,10,03-18-2024
2024,46,03-18-2024
best,16,03-18-2024
from,22,03-18-2024
new,21,03-18-2024
your,11,03-18-2024
at,21,03-18-2024
biden,13,03-18-2024
why,26,03-18-2024
we,18,03-18-2024
america,13,03-18-2024
feb,23,03-18-2024
